grade,asian,black,hispanic,white,asianmale,blackmale,hispanicmale,whitemale,asianfemale,blackfemale,hispanicfemale,whitefemale
None,14100,83000,397000,530000,46000,29000,251000,297000,95000,54000,146000,232000
1st - 4th grade,12000,112000,1047000,1119000,44000,45000,538000,597000,76000,67000,509000,522000
5th - 6th grade,167000,229000,2317000,2414000,47000,102000,1177000,1217000,120000,126000,1139000,1197000
7th - 8th grade,216000,373000,1313000,2384000,92000,177000,655000,1196000,124000,197000,658000,1188000
9th grade,151000,371000,1483000,2403000,68000,192000,711000,1207000,83000,179000,772000,1195000
10th grade,199000,598000,1007000,2669000,84000,344000,481000,1361000,115000,255000,526000,1309000
11th grade,398000,1890000,2726000,6963000,206000,922000,1411000,3710000,191000,968000,1315000,3253000
High school graduate,2664000,10762000,13279000,54211000,1187000,5477000,7067000,28145000,1477000,5285000,6212000,26065000
Some college,1771000,6528000,7041000,33891000,898000,2951000,3408000,16355000,873000,3577000,3633000,17535000
A.A. degree occupational,361000,1260000,1448000,8640000,167000,492000,695000,4228000,194000,768000,753000,4412000
A.A. degree academic,652000,1769000,2115000,11958000,290000,668000,937000,5018000,362000,1101000,1178000,6941000
Bachelor's degree,5276000,5344000,5514000,43760000,2349000,2275000,2515000,20907000,2926000,3069000,2999000,22854000
Master's degree,2803000,2177000,1766000,18450000,1421000,688000,775000,8101000,1381000,1488000,991000,10348000
Professional degree,367000,283000,269000,2663000,201000,128000,154000,1616000,166000,156000,116000,1047000
Doctoral degree,727000,335000,273000,3539000,438000,153000,117000,2012000,289000,181000,156000,1527000
