grade,All,Male,Female
None,397000,251000,146000
1st - 4th grade,1047000,538000,509000
5th - 6th grade,2317000,1177000,1139000
7th - 8th grade,1313000,655000,658000
9th grade,1483000,711000,772000
10th grade,1007000,481000,526000
11th grade,2726000,1411000,1315000
High school graduate,13279000,7067000,6212000
Some college,7041000,3408000,3633000
"A.A. degree, occupational",1448000,695000,753000
"A.A. degree, academic",2115000,937000,1178000
Bachelor's degree,5514000,2515000,2999000
Master's degree,1766000,775000,991000
Professional degree,269000,154000,116000
Doctoral degree,273000,117000,156000
