Table with row headers in column A and column headers in rows 5 through 6,,,,,,,,,,,,,,,,
"Table 1.  Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race, and Hispanic Origin:  2020",,,,,,,,,,,,,,,,
(Numbers in thousands. Civilian noninstitutionalized population.1),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
White alone,Educational Attainment,,,,,,,,,,,,,,,
,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade2,High school graduate,"Some college, no degree","Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree
Both Sexes,,,,,,,,,,,,,,,,
.18 years and over,"195,592",530,"1,119","2,414","2,384","2,403","2,669","6,963","54,211","33,891","8,640","11,958","43,760","18,450","2,663","3,539"
..18 to 24 years,"21,310",40,23,62,131,186,334,"2,463","6,183","7,350",569,962,"2,753",225,16,12
.25 years and over,"174,282",490,"1,096","2,352","2,252","2,217","2,335","4,500","48,027","26,540","8,070","10,996","41,008","18,225","2,647","3,527"
..25 to 29 years,"16,719",18,18,54,126,102,158,409,"4,619","2,697",825,"1,148","5,102","1,211",106,125
..30 to 34 years,"16,345",40,40,145,150,177,163,403,"3,843","2,435",733,"1,162","4,704","1,753",246,351
..35 to 39 years,"16,245",48,77,219,184,232,236,419,"3,866","2,220",753,"1,037","4,406","1,901",257,389
..40 to 44 years,"14,938",41,83,257,209,260,178,404,"3,757","2,110",655,"1,000","3,662","1,779",232,313
..45 to 49 years,"14,896",53,90,250,190,224,162,389,"3,610","2,139",722,"1,022","3,659","1,785",249,353
..50 to 54 years,"15,588",45,113,264,208,253,174,362,"4,142","2,230",805,957,"3,725","1,770",242,298
..55 to 59 years,"16,907",40,135,255,194,231,252,499,"5,008","2,549",915,"1,102","3,622","1,582",240,283
..60 to 64 years,"16,884",41,114,230,182,171,251,461,"5,194","2,670",790,"1,120","3,524","1,600",239,297
..65 to 69 years,"14,496",32,112,171,147,140,189,304,"4,119","2,417",691,916,"2,992","1,639",277,350
..70 to 74 years,"12,260",49,118,188,171,135,175,247,"3,404","2,145",534,748,"2,291","1,473",253,329
..75 years and over,"19,004",83,197,320,491,291,397,602,"6,465","2,929",648,783,"3,320","1,732",306,440
Male,,,,,,,,,,,,,,,,
.18 years and over,"95,967",297,597,"1,217","1,196","1,207","1,361","3,710","28,145","16,355","4,228","5,018","20,907","8,101","1,616","2,012"
..18 to 24 years,"10,836",24,12,38,70,103,180,"1,357","3,524","3,540",318,387,"1,178",100,3,2
.25 years and over,"85,131",273,585,"1,180","1,126","1,104","1,181","2,352","24,621","12,816","3,910","4,630","19,728","8,001","1,613","2,010"
..25 to 29 years,"8,562",11,4,31,55,45,83,225,"2,775","1,410",436,526,"2,440",414,56,50
..30 to 34 years,"8,269",25,31,90,76,99,78,224,"2,262","1,237",382,583,"2,186",730,118,150
..35 to 39 years,"8,283",25,52,120,103,108,142,238,"2,227","1,134",408,457,"2,176",727,147,220
..40 to 44 years,"7,477",31,48,138,98,139,100,219,"2,130","1,060",345,463,"1,732",717,91,165
..45 to 49 years,"7,294",34,49,143,107,121,95,228,"1,964","1,043",331,438,"1,639",784,129,187
..50 to 54 years,"7,667",28,63,117,112,132,95,216,"2,257","1,018",416,343,"1,788",776,147,161
..55 to 59 years,"8,163",25,72,127,99,121,146,284,"2,542","1,176",439,401,"1,686",703,168,175
..60 to 64 years,"8,301",19,58,118,112,89,132,261,"2,610","1,336",362,446,"1,669",765,156,166
..65 to 69 years,"6,898",18,52,77,70,71,87,127,"1,858","1,204",303,342,"1,550",753,185,200
..70 to 74 years,"5,870",23,52,76,78,62,60,108,"1,454","1,024",236,314,"1,242",749,178,213
..75 years and over,"8,347",35,105,141,215,119,163,222,"2,542","1,173",251,317,"1,621",883,239,323
Female,,,,,,,,,,,,,,,,
.18 years and over,"99,625",232,522,"1,197","1,188","1,195","1,309","3,253","26,065","17,535","4,412","6,941","22,854","10,348","1,047","1,527"
..18 to 24 years,"10,474",16,12,24,61,83,154,"1,106","2,659","3,811",251,575,"1,574",125,14,10
.25 years and over,"89,151",216,511,"1,172","1,126","1,112","1,155","2,148","23,407","13,725","4,161","6,366","21,279","10,223","1,033","1,517"
..25 to 29 years,"8,158",8,14,22,72,58,74,184,"1,844","1,286",389,622,"2,662",797,50,75
..30 to 34 years,"8,075",15,9,54,74,78,84,180,"1,581","1,198",351,579,"2,518","1,023",129,202
..35 to 39 years,"7,962",23,25,99,81,124,95,181,"1,639","1,086",345,580,"2,230","1,174",111,169
..40 to 44 years,"7,462",10,35,119,111,121,78,185,"1,627","1,050",310,537,"1,930","1,062",140,148
..45 to 49 years,"7,602",19,41,107,83,102,67,161,"1,646","1,096",391,583,"2,020","1,001",119,165
..50 to 54 years,"7,921",17,50,147,96,121,79,146,"1,885","1,212",389,614,"1,937",995,95,137
..55 to 59 years,"8,744",15,63,129,95,111,107,215,"2,466","1,373",475,702,"1,936",879,72,108
..60 to 64 years,"8,583",21,56,112,70,82,119,200,"2,585","1,334",428,673,"1,855",835,83,131
..65 to 69 years,"7,598",14,60,94,77,69,102,177,"2,261","1,213",388,574,"1,442",886,92,150
..70 to 74 years,"6,389",26,66,112,92,73,114,139,"1,950","1,121",298,433,"1,049",724,75,116
..75 years and over,"10,657",48,93,178,276,173,235,380,"3,923","1,756",398,467,"1,699",849,67,117
Footnotes:,,,,,,,,,,,,,,,,
1 Plus armed forces living off post or with their families on post.,,,,,,,,,,,,,,,,
2 Respondents who have completed 12th grade but did not receive a diploma are included in this category.,,,,,,,,,,,,,,,,
Details may not sum to totals due to rounding.,,,,,,,,,,,,,,,,
"Source:  U.S. Census Bureau, Current Population Survey, 2020 Annual Social and Economic Supplement",,,,,,,,,,,,,,,,
"For more information on confidentiality protection, sampling error, nonsampling error, and definitions, see <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar20.pdf>",,,,,,,,,,,,,,,,
